variant,orderDate,orderTime,audience,pet_age_range,pet_size,current_brand
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:24:28,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,20:39:29,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:52:05,meta,7+ Years,Small (up to 30lbs),Fromm
Culinary Harvest Turkey Herring Kibble,2026-09-02,03:55:12,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:59:08,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:35:06,meta,1-6 Years,Small (up to 30lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:58:20,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:54:18,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:37:01,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:36:10,audience_1,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:39:38,meta,Under One Year,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,19:11:06,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,03:33:28,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,16:20:46,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:05:09,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,14:50:16,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:21:54,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:32:18,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:39:55,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,11:09:20,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:23:11,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:38:31,meta,1-6 Years,Small (up to 30lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:06:49,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,11:40:39,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,15:13:47,meta,7+ Years,Small (up to 30lbs),Orijen
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:33:07,meta,7+ Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:11:41,meta,7+ Years,Medium (31lbs to 69lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-02,22:41:19,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,07:58:12,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,20:36:29,meta,7+ Years,Small (up to 30lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:49:57,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,17:33:01,meta,1-6 Years,Large (70lbs and over),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-02,07:34:54,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:24:19,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,05:22:19,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:11:22,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:12:14,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:02:28,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:08:13,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:51:14,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:31:54,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:44:23,meta,7+ Years,Large (70lbs and over),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:21:31,meta,1-6 Years,Medium (31lbs to 69lbs),Open Farm
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:54:14,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:02:48,meta,7+ Years,Small (up to 30lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-03,02:11:18,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:25:43,meta,7+ Years,Small (up to 30lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-03,15:46:53,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:54:45,meta,Under One Year,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,02:37:26,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,12:35:51,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:58:10,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:46:10,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,18:07:38,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:33:58,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:25:12,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:03:46,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,03:57:02,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-04,20:53:37,meta,7+ Years,Small (up to 30lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-02,19:57:24,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:01:51,audience_1,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:12:05,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:36:46,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,20:10:31,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-04,17:33:54,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:36:58,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:21:49,meta,1-6 Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-01,15:04:21,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:55:14,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,13:35:27,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,03:00:32,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,13:31:48,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,09:23:08,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:05:05,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:20:52,meta,7+ Years,Medium (31lbs to 69lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:51:50,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:53:27,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:24:14,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,21:53:57,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:50:09,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:19:42,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:57:27,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:01:49,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:40:05,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,10:52:39,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:13:48,meta,1-6 Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:02:18,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:03:55,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,08:45:17,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:54:31,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:53:35,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:50:09,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,14:28:06,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:53:58,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,11:57:32,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:05:25,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,02:22:40,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:53:24,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,23:07:35,meta,7+ Years,Medium (31lbs to 69lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:44:39,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-05,04:44:37,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:39:55,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:41:18,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-05,03:45:22,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,03:59:52,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:18:16,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:05:53,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-01,20:34:10,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:17:45,meta,7+ Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:12:01,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:37:15,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,13:20:57,meta,1-6 Years,Large (70lbs and over),Open Farm
Culinary Harvest Turkey Herring Kibble,2026-09-05,04:51:50,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,19:46:34,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,21:35:43,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,04:26:34,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:12:11,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:01:12,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,13:47:41,meta,7+ Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:07:16,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:27:17,meta,7+ Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-05,04:30:15,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:17:54,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,11:39:25,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:21:27,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:05:12,meta,Under One Year,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:04:09,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:47:03,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,19:14:18,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,21:22:50,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,16:19:29,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,17:18:26,meta,1-6 Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,20:37:29,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:27:47,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:10:41,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,19:59:27,meta,1-6 Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:28:50,meta,7+ Years,Small (up to 30lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:25:55,meta,7+ Years,Large (70lbs and over),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:25:44,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:58:00,meta,1-6 Years,Small (up to 30lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-03,21:29:26,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:46:21,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,15:13:19,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,14:36:00,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,11:08:38,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:21:21,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,03:50:57,meta,7+ Years,Small (up to 30lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:19:26,meta,7+ Years,Small (up to 30lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:56:51,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:41:50,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,02:30:23,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:39:42,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,02:42:07,meta,1-6 Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:18:17,meta,7+ Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:17:21,meta,1-6 Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:56:29,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:08:14,meta,1-6 Years,Medium (31lbs to 69lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:13:50,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:29:02,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,07:27:54,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:48:31,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,18:07:59,meta,7+ Years,Small (up to 30lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:43:36,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
